0 0 0 0 0 0 0 0 0.00014082523588227 0.00014082523588227 0.00028165047176454 0.00042247570764681 0.00126742712294043 0.00168990283058724 0.00239402900999859 0.00732291226587805 0.00887198986058302 0.0233769891564568 0.0383044641599775 0.0597099000140825 0.0851992677087734 0.104773975496409 0.124207858048162 0.541895507674975
0 0 0 0 0 0 0 0 0 0 0.000165425971877585 0.00033085194375517 0.000827129859387924 0.000661703887510339 0.000661703887510339 0.0043010752688172 0.00860215053763441 0.0104218362282878 0.0198511166253102 0.0383788254755997 0.0767576509511993 0.0982630272952854 0.110504549214227 0.630272952853598
0 0 0 0 0 0.000390548720952939 0 0 0.000195274360476469 0.000195274360476469 0.000195274360476469 0 0.000390548720952939 0.000390548720952939 0.000976371802382347 0.000781097441905878 0.00214801796524116 0.00488185901191174 0.0113259129076352 0.0230423745362234 0.0513571568053115 0.0757664518648701 0.102714313610623 0.725248974809607
0 0 0 0 0 0 0 0 0.000467435338111561 0.000623247117482082 0.000623247117482082 0.00124649423496416 0.00124649423496416 0.0015581177937052 0.00280461202866937 0.00296042380803989 0.00560922405733873 0.00358367092552197 0.00856964786537862 0.0193206606419445 0.0355250856964787 0.0660641944531007 0.0986288563415394 0.751168588345279
0.000139353400222965 0 0 0 0 0 0 0 0.000139353400222965 0.000278706800445931 0.000696767001114827 0.000557413600891862 0.00139353400222965 0.00222965440356745 0.00445930880713489 0.00529542920847269 0.00933667781493868 0.0101727982162765 0.0111482720178372 0.0178372352285396 0.0331661092530658 0.0535117056856187 0.110367892976589 0.739269788182832
0 0 0 0 0 0 0.00028336639274582 0 0.00028336639274582 0.000566732785491641 0 0.000566732785491641 0.0014168319637291 0.00198356474922074 0.00963445735335789 0.00651742703315387 0.00991782374610371 0.0138849532445452 0.0201190138849532 0.0297534712383111 0.0303202040238028 0.0425049589118731 0.0674412014735052 0.764805894020969
#-


#==========================================================================================================================
# Trawl Survey Size Composition, NOT USED IN MODEL
#==========================================================================================================================
#! Number of years: nyrs_srv1_size
15
#- Trawl Survey size comp years: yrs_srv1_size #!
1984 1987 1990 1993 1996 1999 2001 2003 2005 2007 2009 2011 2013 2015 2017
#- Number of samples: nsamples_srv1_size(1,nyrs_srv1_size) #!
4235 9584 3091 4384 4239 3471 3810 2941 4556 4723 2849 2460 3138 2325 2570
#- Number of hauls: nhauls_srv1_size(1,nyrs_srv1_size) #!
50 82 48 106 131 124 106 126 147 139 132 89 86 95 92
#- Index for size-age error matrix #!
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
#- Observed trawl survey size compositions (proportions at length): osc_srv1(1,nyrs_srv1_size,1,nlenbins) #!
0.0097549821981129 0.00721019502281551 0.00508954610483977 0.00810386246576968 0.00583582719811996 0.00463875797766043 0.00283806284962949 0.00530220839435593 0.00777519486040242 0.0168061536201878 0.0223006308689383 0.0266234600767437 0.045137309676572 0.0518948664752546 0.0893639197199151 0.0951581409208963 0.102164260363721 0.0930012950678675 0.0744987296471682 0.059504964897588 0.0508737824314228 0.0579366193503194 0.0486746526831349 0.109512577128565
0.00351375717339533 0.00377847000279694 0.00479304655263493 0.00429723987596114 0.00495234860738649 0.00802093456949589 0.0093842929657459 0.00993806176899763 0.0116218009577468 0.0130688661346683 0.0150784369103512 0.0150459520729498 0.0173303092981286 0.0224754797586366 0.0437501288041268 0.0713935007288691 0.117802064775594 0.139715875528918 0.130440244840199 0.121695609501085 0.0866154436021889 0.0674853156180099 0.0341759679363572 0.0436268520157566
0.000593061917860799 0 0.000203262245319157 0 0.000552228838124579 0.000658135106442689 0.00133371359825542 0.00341560735237507 0.00547085478613731 0.0117858744941962 0.0112705892432272 0.0297387042839755 0.0243408137417065 0.0165900438825738 0.0171389303940231 0.0127795871096626 0.0223576405831713 0.0381804853503976 0.0899662245693603 0.125642173354051 0.138953190405073 0.118235880690356 0.101613178254825 0.229179819798886
0.000127502411406528 0.000278890464632758 0.000663821255564379 0.00110099459786617 0.000552214524945624 0.00048674609322982 0.000647096122212059 0.00154457675724872 0.00260802566637279 0.00326620275643935 0.00655338159062433 0.00527833155616641 0.0068318443687785 0.00776171901451963 0.00694754004133655 0.012218283402557 0.0145813613584619 0.0410703048529779 0.0552439902759647 0.0907370366446311 0.146673846615429 0.161236979457765 0.123143145692371 0.3104461644785
0.000410651893956686 0.000321227062224411 0.000769829384771041 0.000987511475165908 0.00053260449781587 0.000910573453270952 0.000730653958486135 0.00210648153630391 0.00230806715698697 0.0020016054003125 0.00312282129055794 0.00698527168938044 0.00821016321787621 0.00551905561497702 0.00802584189804083 0.00903587699749145 0.0159873550837935 0.0203310499104078 0.0266952886016986 0.0341474967457936 0.0594601794490957 0.121278446794389 0.117793695851529 0.552328251035674
0.00015768602599728 0.000233260798266546 0.000131250175581456 0.000476441629634045 0.000674832407860576 0.000784512853547665 0.00119171851652063 0.00168781900949356 0.00338608189309207 0.00179762464988601 0.00216329202745982 0.00606612165611655 0.00196639040730756 0.00563202548827146 0.00182684114059981 0.0025629728297212 0.00232318543378844 0.0267780734375207 0.0309121574545608 0.0354070163718731 0.0538330973308808 0.0777479349108642 0.128248813723335 0.614010849827821
0.000322126878742479 0.000661315562503098 0.000417194137496667 0.00268523050722341 0.00245622416325272 0.00151479963343411 0.00149714262315239 0.00164241298451471 0.00123678731022378 0.00201606539560508 0.00190915444715109 0.0039380838843364 0.00491074102719674 0.0079742200042 0.00513706670986753 0.00953668528622381 0.0105617137794382 0.0231682395786215 0.0171752609868794 0.0530373962320598 0.0510251772945303 0.121347265015032 0.126851517432186 0.548978179126129
0.00035376145245642 0 0.000188529760094883 0 0.000536766028393984 0.00109426085152716 0.0012559878559695 0.00247717827672699 0.00384864622324416 0.00579536940427153 0.00697795836912179 0.0181141354128846 0.0112102120170311 0.00719569801927636 0.00989404580088311 0.0147975906156082 0.0207492242011597 0.0396464016839065 0.06409899593435 0.0767755020269007 0.0630623192256091 0.0782659298074867 0.0706265208365608 0.503034966196537
4.70345960589782e-05 0.000111551276831391 0.0001775154071045 1.3287486246882e-05 4.47782777196565e-05 0.00019889408597552 0.000239998646709844 0.000286176793410278 0.000124175140037296 0.00145640215115537 0.000379634951482958 0.000818420001939031 0.00117964630068908 0.00133443825317537 0.0634923072378848 0.0341421658605087 0.0117433681551368 0.0130614687603147 0.02114060347901 0.0254749759834195 0.0314661923439763 0.0520259378442897 0.0554038968220432 0.68563713014488
6.49579319701609e-05 0 3.17271380687591e-05 3.43913077619797e-05 0.000102992713480467 0 0.000102992713480467 0.000167626781117443 8.16408006569418e-05 0.000414870210809425 0.00202736759256871 0.00229235030555809 0.00606997714285058 0.00215066351531762 0.00639994477650456 0.00334813646515644 0.00719443796319516 0.0177605388220359 0.0380923406844741 0.0618399088247876 0.0699131950668846 0.0836626895445408 0.0926912714702823 0.605555978228498
0.000710907592207381 0.00114298778744052 0.000355453796103691 0.00106452270288542 0.000931647761444557 0.000714106252060293 0.000566706783736312 0.000615056594574205 0.00117003495884984 0.000491647075147063 0.00106105204814705 0.0014822959671438 0.00256834978516158 0.00215250224469219 0.0018365529857515 0.00771829006650852 0.00637637609964404 0.0130917013457426 0.0117779334096246 0.0322029650205982 0.039699067905079 0.0562354321579314 0.0815489299269695 0.734485479732557
0 0 0.000121306138187632 0.000125663417123892 0.000125663417123892 0.000369899366581663 0.000125663417123892 0.000376996593844654 0.000750834636145993 0.000125663417123892 0.000236466420059055 0.000406685709857218 0.000251333176720762 0.000535888226903138 0.000170219289798163 0.000148255305873465 0.000703310486117763 0.00181021155527922 0.00361920535574655 0.0148257716013197 0.0123962809844155 0.0183994950833371 0.0442139689834171 0.9001612174179
0 0 0 0 9.56691167316194e-05 0 0 7.08676099143601e-05 8.3987670451654e-05 0.000119422744028109 0.000670264844749075 0.000682796265942983 0.001317077993589 0.0010039827566325 0.0012623167739842 0.00381900071930459 0.00161524411892272 0.00424212076870341 0.00502861143690875 0.0118458897848084 0.0132541053870804 0.0343864785544136 0.0400745867956691 0.880427576658166
0 0 0 0.000929261211103509 0 0 0 0.000480360978354909 0 0 0.00232227857230626 0.000960702306025491 0.000743090627796722 0.00420974645252582 0.00209818216824983 0.00214023463270798 0.00572530548118699 0.00715842988909959 0.00853562844941972 0.0125986432420815 0.0070193619961228 0.025078262289199 0.0528802076794363 0.867120304024384
0 8.47395289426703e-05 0 0 0.000124542982169714 0.000140405587756933 0.00014772521317008 0.00014772521317008 0.000293871683603991 0.000404246987453021 0.00138392178189508 0 0.0014910575876621 0.00126267980726463 0.000971972443517113 0.00442062318333954 0.00421631610388053 0.00819466578641622 0.00742011136314573 0.00806245462524225 0.013521015727811 0.0164009090195643 0.0324827548155874 0.898828260558408
#-


#==========================================================================================================================
# Longline Survey Size Composition, NOT USED IN MODEL, include one year of fake data
#==========================================================================================================================
# Number of years: nyrs_srv2_size
1
# Longline Survey size comp years: yrs_srv1_size
1999
# Number of samples: nsamples_srv2_size(1,nyrs_srv2_size)
99
# Number of hauls: nhauls_srv2_size(1,nyrs_srv2_size)
99
# Index for size-age error matrix
1
# Observed longline survey size compositions (proportions at length): osc_srv2(1,nyrs_srv2_size,1,nlenbins)
0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667


#==========================================================================================================================
# Size-age transition matrix: proportion at size given age: sizeage(1,nages,1,nlenbins)
#==========================================================================================================================
0.896 0.0625 0.0279 0.01 0.0029 7e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.2059 0.1567 0.1843 0.1745 0.1332 0.0819 0.0405 0.0162 0.0052 0.0013 3e-04 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0054 0.0132 0.0342 0.0718 0.1216 0.1665 0.1842 0.1646 0.1189 0.0694 0.0327 0.0125 0.0038 0.001 2e-04 0 0 0 0 0 0 0 0 0
0 2e-04 9e-04 0.0035 0.0115 0.0305 0.0656 0.114 0.1605 0.1829 0.1689 0.1263 0.0765 0.0375 0.0149 0.0048 0.0012 3e-04 0 0 0 0 0 0
0 0 0 1e-04 3e-04 0.0015 0.0055 0.0167 0.0409 0.0812 0.1308 0.1711 0.1815 0.1563 0.1091 0.0618 0.0284 0.0106 0.0032 8e-04 2e-04 0 0 0
0 0 0 0 0 0 2e-04 0.0011 0.0042 0.0131 0.0336 0.07 0.1184 0.1627 0.1817 0.1649 0.1216 0.0729 0.0355 0.014 0.0045 0.0012 3e-04 0
0 0 0 0 0 0 0 0 3e-04 0.0013 0.0048 0.0147 0.0367 0.0745 0.1231 0.1655 0.1811 0.1612 0.1167 0.0688 0.033 0.0129 0.0041 0.0013
0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0022 0.0077 0.0218 0.0499 0.0931 0.1415 0.1753 0.1768 0.1453 0.0973 0.0531 0.0236 0.0118
0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0014 0.0052 0.0155 0.0381 0.0763 0.1246 0.1658 0.18 0.1594 0.115 0.0677 0.0506
0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0012 0.0044 0.0135 0.0339 0.0698 0.1172 0.1607 0.1797 0.1641 0.1223 0.1329
0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0012 0.0046 0.014 0.0349 0.0712 0.1186 0.1614 0.1794 0.1629 0.2515
0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0016 0.0057 0.0168 0.0404 0.0792 0.1271 0.1667 0.1786 0.3834
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.0024 0.0082 0.0226 0.0508 0.0936 0.1409 0.1736 0.5071
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0042 0.0129 0.0325 0.0671 0.1135 0.1572 0.6113
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0022 0.0076 0.0211 0.0481 0.0897 0.137 0.6935
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0013 0.0047 0.0142 0.035 0.0709 0.1175 0.7561
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.0031 0.0099 0.0261 0.0566 0.1005 0.8029
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0021 0.0071 0.02 0.0459 0.0864 0.8378
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0015 0.0054 0.0158 0.038 0.0751 0.8639
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0042 0.0128 0.0321 0.066 0.8835
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0034 0.0107 0.0276 0.0589 0.8983
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.0028 0.0091 0.0243 0.0532 0.9098
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.0024 0.0079 0.0217 0.0487 0.9186
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0021 0.0071 0.0197 0.045 0.9255
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0019 0.0064 0.0181 0.0421 0.931
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0017 0.0059 0.0169 0.0398 0.9353
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0016 0.0055 0.0159 0.0379 0.9388
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0015 0.0052 0.0151 0.0363 0.9416
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0014 0.0049 0.0144 0.0351 0.9438
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0013 0.0047 0.0139 0.034 0.9457
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0013 0.0045 0.0135 0.0332 0.9472
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0012 0.0044 0.0132 0.0325 0.9484
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0012 0.0043 0.0129 0.0319 0.9494
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0012 0.0042 0.0127 0.0314 0.9502
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0011 0.0041 0.0125 0.031 0.9509
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0011 0.0041 0.0123 0.0307 0.9514
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.004 0.0122 0.0305 0.9519
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.004 0.0121 0.0303 0.9522
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.004 0.012 0.0301 0.9525
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.004 0.012 0.0299 0.9527
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0119 0.0298 0.9529
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0119 0.0297 0.9531
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0119 0.0297 0.9532
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0119 0.0296 0.9532
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0118 0.0296 0.9533
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0118 0.0295 0.9533
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0118 0.0295 0.9534
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0118 0.0295 0.9534
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0039 0.0118 0.0294 0.9535
#


#==========================================================================================================================
# Ageing error matrix: proportion at reader age given true age: ageage(1,nages,1,nages)
#==========================================================================================================================
0.9579 0.0421 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0574 0.8852 0.0574 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0.0734 0.8532 0.0734 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.0895 0.8209 0.0895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1e-04 0.1054 0.7891 0.1054 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 2e-04 0.1207 0.7582 0.1207 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 5e-04 0.1353 0.7285 0.1353 5e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 9e-04 0.149 0.7002 0.149 9e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0.0016 0.1617 0.6733 0.1617 0.0016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0.0026 0.1734 0.6479 0.1734 0.0026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0.004 0.1841 0.624 0.1841 0.004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0.0057 0.1936 0.6014 0.1936 0.0057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0.0077 0.2022 0.5801 0.2022 0.0077 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1e-04 0.0102 0.2097 0.5601 0.2097 0.0102 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1e-04 0.013 0.2163 0.5412 0.2163 0.013 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0162 0.2219 0.5234 0.2219 0.0162 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0196 0.2267 0.5066 0.2267 0.0196 3e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0234 0.2308 0.4908 0.2308 0.0234 5e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7e-04 0.0273 0.2341 0.4758 0.2341 0.0273 7e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001 0.0314 0.2367 0.4617 0.2367 0.0314 0.001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014 0.0356 0.2388 0.4483 0.2388 0.0356 0.0014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.002 0.0399 0.2403 0.4356 0.2403 0.0399 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0026 0.0443 0.2413 0.4235 0.2413 0.0443 0.0026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0033 0.0486 0.2419 0.4121 0.2419 0.0486 0.0033 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0041 0.053 0.2422 0.4013 0.2422 0.053 0.0041 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0051 0.0572 0.242 0.3909 0.242 0.0572 0.0051 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0062 0.0614 0.2416 0.3811 0.2416 0.0614 0.0062 2e-04 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0074 0.0655 0.241 0.3717 0.241 0.0655 0.0074 3e-04 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0087 0.0694 0.24 0.3628 0.24 0.0694 0.0087 5e-04 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6e-04 0.0101 0.0732 0.2389 0.3542 0.2389 0.0732 0.0101 6e-04 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8e-04 0.0116 0.0768 0.2376 0.3461 0.2376 0.0768 0.0116 8e-04 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0011 0.0133 0.0803 0.2362 0.3382 0.2362 0.0803 0.0133 0.0011 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0013 0.0149 0.0837 0.2346 0.3308 0.2346 0.0837 0.0149 0.0013 1e-04 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0017 0.0167 0.0868 0.2329 0.3236 0.2329 0.0868 0.0167 0.0017 1e-04 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.002 0.0185 0.0898 0.2312 0.3167 0.2312 0.0898 0.0185 0.002 1e-04 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0024 0.0204 0.0926 0.2293 0.3101 0.2293 0.0926 0.0204 0.0024 2e-04 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0029 0.0223 0.0953 0.2274 0.3038 0.2274 0.0953 0.0223 0.0029 2e-04 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0034 0.0243 0.0978 0.2254 0.2977 0.2254 0.0978 0.0243 0.0034 3e-04 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4e-04 0.004 0.0262 0.1001 0.2234 0.2919 0.2234 0.1001 0.0262 0.004 4e-04
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0046 0.0282 0.1023 0.2213 0.2862 0.2213 0.1023 0.0282 0.0051
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6e-04 0.0053 0.0302 0.1043 0.2192 0.2808 0.2192 0.1043 0.0361
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.006 0.0322 0.1061 0.2171 0.2756 0.2171 0.1451
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 9e-04 0.0068 0.0341 0.1079 0.215 0.2705 0.3647
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.001 0.0076 0.0361 0.1094 0.2129 0.6328
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0012 0.0085 0.038 0.1109 0.8412
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0015 0.0094 0.0399 0.9491
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0017 0.0103 0.9878
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.002 0.9978
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.9997
#


#==========================================================================================================================
# EOF marker
#==========================================================================================================================
42
#!
